matchDay;match_name;team;score;period;periodMinute;periodSecond;OffensiveIndex;weight;xml_idevent_oi;oiTypeName;oiEventName
1;INTER-GENOA;INTER;0;1;1;51;0.2;0.2;PIF22082021104902;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;0;1;1;55;1.5;1.3;TIF22082021104916;free kick;Shots Inside the Box
1;INTER-GENOA;INTER;0;1;5;34;2.1;0.6;PIF22082021105159;play;Corner
1;INTER-GENOA;INTER;0;1;5;34;6.1;4;PIF22082021105159;free kick;Promising Situations
1;INTER-GENOA;INTER;1;1;5;34;6.1;0;RTF22082021105238;goal;Goal
1;INTER-GENOA;GENOA;0;1;8;40;4;4;ATT22082021105521;play;Promising Actions
1;INTER-GENOA;INTER;1;1;9;40;6.3;0.2;CRF22082021105612;play;Cross
1;INTER-GENOA;INTER;1;1;11;30;6.5;0.2;CRF22082021105742;play;Cross
1;INTER-GENOA;INTER;1;1;11;42;6.7;0.2;CRF22082021105808;play;Cross
1;INTER-GENOA;INTER;1;1;11;45;7.4;0.7;TIF22082021105827;play;Shots Outside the Box
1;INTER-GENOA;INTER;1;1;12;21;8;0.6;PIF22082021105930;play;Corner
1;INTER-GENOA;INTER;1;1;12;21;8.2;0.2;PIF22082021105930;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;1;1;13;44;8.9;0.7;TIF22082021110446;play;Shots Outside the Box
1;INTER-GENOA;INTER;2;1;13;44;8.9;0;RTF22082021110522;goal;Goal
1;INTER-GENOA;INTER;2;1;16;38;9.1;0.2;CRF22082021110643;play;Cross
1;INTER-GENOA;INTER;2;1;21;0;9.3;0.2;CRF22082021110844;play;Cross
1;INTER-GENOA;INTER;2;1;24;1;13.3;4;ATT22082021111200;play;Promising Actions
1;INTER-GENOA;INTER;2;1;24;34;13.9;0.6;PIF22082021111216;play;Corner
1;INTER-GENOA;INTER;2;1;27;19;14.6;0.7;TIF22082021111406;free kick;Shots Outside the Box
1;INTER-GENOA;INTER;2;1;29;27;15.2;0.6;PIF22082021111620;play;Corner
1;INTER-GENOA;INTER;2;1;29;27;15.4;0.2;PIF22082021111620;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;2;1;30;36;15.6;0.2;CRF22082021111713;play;Cross
1;INTER-GENOA;INTER;2;1;32;19;15.8;0.2;CRF22082021111741;play;Cross
1;INTER-GENOA;INTER;2;1;35;47;19.8;4;ATT22082021112135;play;Promising Actions
1;INTER-GENOA;INTER;2;1;36;14;20;0.2;CRF22082021112152;free kick;Cross
1;INTER-GENOA;INTER;2;1;36;18;21.3;1.3;TIF22082021112154;free kick;Shots Inside the Box
1;INTER-GENOA;INTER;2;1;36;55;21.9;0.6;PIF22082021112235;play;Corner
1;INTER-GENOA;INTER;2;1;36;55;22.1;0.2;PIF22082021112235;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;2;1;39;15;22.7;0.6;PIF22082021112334;play;Corner
1;INTER-GENOA;INTER;2;1;39;15;22.9;0.2;PIF22082021112334;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;2;1;39;17;25;2.1;TIF22082021112348;free kick;Heades Dot in the Box
1;INTER-GENOA;INTER;2;1;40;35;25.2;0.2;CRF22082021112436;play;Cross
1;INTER-GENOA;GENOA;0;1;44;31;14;10;ATT22082021112802;play;Goal Opportunity
1;INTER-GENOA;INTER;2;1;46;53;29.2;4;ATT22082021113027;play;Promising Actions
1;INTER-GENOA;GENOA;0;2;1;39;24;10;ATT22082021113554;play;Goal Opportunity
1;INTER-GENOA;GENOA;0;2;3;4;24.6;0.6;PIF22082021113702;play;Corner
1;INTER-GENOA;GENOA;0;2;3;4;24.8;0.2;PIF22082021113702;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;2;2;6;16;29.4;0.2;PLF22082021113859;play;Cross
1;INTER-GENOA;INTER;2;2;6;21;30.7;1.3;TIF22082021113918;play;Shots Inside the Box
1;INTER-GENOA;INTER;2;2;6;57;34.7;4;ATT22082021114219;play;Promising Actions
1;INTER-GENOA;GENOA;0;2;9;29;25;0.2;PLF22082021114335;play;Cross
1;INTER-GENOA;GENOA;0;2;11;31;29;4;ATT22082021114647;play;Promising Actions
1;INTER-GENOA;GENOA;0;2;12;49;30.8;1.8;PIF22082021115039;play;Central Free Kicks
1;INTER-GENOA;GENOA;0;2;13;25;31.4;0.6;PIF22082021115103;play;Corner
1;INTER-GENOA;GENOA;0;2;13;25;31.6;0.2;PIF22082021115103;free kick;Free Kicks came into the box
1;INTER-GENOA;GENOA;0;2;16;44;32.3;0.7;TIF22082021115658;free kick;Shots Outside the Box
1;INTER-GENOA;GENOA;0;2;17;36;33;0.7;TIF22082021115734;play;Shots Outside the Box
1;INTER-GENOA;GENOA;0;2;22;18;33.2;0.2;CRF22082021120109;play;Cross
1;INTER-GENOA;INTER;2;2;22;33;38.7;4;ATT22082021120228;play;Promising Actions
1;INTER-GENOA;INTER;2;2;23;46;39.3;0.6;PIF22082021120320;play;Corner
1;INTER-GENOA;INTER;2;2;23;46;39.5;0.2;PIF22082021120320;free kick;Free Kicks came into the box
1;INTER-GENOA;INTER;2;2;25;12;40.1;0.6;PIF22082021120358;play;Corner
1;INTER-GENOA;INTER;2;2;25;12;50.1;10;PIF22082021120358;free kick;Goal Opportunity
1;INTER-GENOA;INTER;2;2;28;17;60.1;10;ATT22082021120734;play;Goal Opportunity
1;INTER-GENOA;INTER;3;2;28;17;60.1;0;RTF22082021120752;goal;Goal
1;INTER-GENOA;INTER;3;2;30;13;70.1;10;ATT22082021121028;play;Goal Opportunity
1;INTER-GENOA;GENOA;0;2;33;13;37.2;4;PIF22082021121155;free kick;Promising Situations
1;INTER-GENOA;GENOA;0;2;34;33;41.2;4;ATT22082021121449;play;Promising Actions
1;INTER-GENOA;GENOA;0;2;36;22;41.9;0.7;TIF22082021121602;play;Shots Outside the Box
1;INTER-GENOA;GENOA;0;2;38;52;42.6;0.7;TIF22082021121800;play;Shots Outside the Box
1;INTER-GENOA;INTER;3;2;39;24;70.3;0.2;CRF22082021121921;play;Cross
1;INTER-GENOA;INTER;3;2;42;2;80.3;10;ATT22082021122139;play;Goal Opportunity
1;INTER-GENOA;INTER;4;2;42;2;80.3;0;RTF22082021122204;goal;Goal
1;INTER-GENOA;INTER;4;2;44;49;80.5;0.2;CRF22082021122355;play;Cross
1;INTER-GENOA;INTER;4;2;47;21;80.7;0.2;CRF22082021122526;play;Cross
1;INTER-GENOA;GENOA;0;2;49;1;42.8;0.2;PIF22082021122605;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;SASSUOLO;0;1;0;29;0.7;0.7;TIF22082021085835;play;Shots Outside the Box
1;VERONA-SASSUOLO;VERONA;0;1;1;43;1.3;1.3;TIF22082021090046;play;Shots Inside the Box
1;VERONA-SASSUOLO;VERONA;0;1;2;30;1.9;0.6;PIF22082021090145;play;Corner
1;VERONA-SASSUOLO;VERONA;0;1;2;30;2.1;0.2;PIF22082021090145;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;SASSUOLO;0;1;5;27;0.9;0.2;CRF22082021090510;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;6;40;2.7;0.6;PIF22082021090615;play;Corner
1;VERONA-SASSUOLO;VERONA;0;1;6;43;3.4;0.7;TIF22082021090635;free kick;Shots Outside the Box
1;VERONA-SASSUOLO;VERONA;0;1;8;8;7.4;4;ATT22082021090858;play;Promising Actions
1;VERONA-SASSUOLO;VERONA;0;1;9;24;7.6;0.2;PLF22082021090934;play;Cross
1;VERONA-SASSUOLO;SASSUOLO;0;1;9;54;1.6;0.7;TIF22082021090956;play;Shots Outside the Box
1;VERONA-SASSUOLO;SASSUOLO;0;1;10;33;2.2;0.6;PIF22082021091058;play;Corner
1;VERONA-SASSUOLO;SASSUOLO;0;1;10;33;2.4;0.2;PIF22082021091058;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;SASSUOLO;0;1;10;35;4.5;2.1;TIF22082021091134;free kick;Heades Dot in the Box
1;VERONA-SASSUOLO;SASSUOLO;0;1;11;47;8.5;4;ATT22082021091407;play;Promising Actions
1;VERONA-SASSUOLO;SASSUOLO;0;1;12;41;9.1;0.6;PIF22082021091437;play;Corner
1;VERONA-SASSUOLO;VERONA;0;1;14;43;7.8;0.2;PLF22082021091558;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;14;45;9.1;1.3;TIF22082021091648;play;Shots Inside the Box
1;VERONA-SASSUOLO;SASSUOLO;0;1;16;28;13.1;4;ATT22082021091922;play;Promising Actions
1;VERONA-SASSUOLO;VERONA;0;1;18;9;9.8;0.7;TIF22082021092028;play;Shots Outside the Box
1;VERONA-SASSUOLO;VERONA;0;1;19;28;10;0.2;CRF22082021092148;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;23;23;20;10;ATT22082021092506;play;Goal Opportunity
1;VERONA-SASSUOLO;VERONA;0;1;27;45;21.8;1.8;PIF22082021092629;play;Central Free Kicks
1;VERONA-SASSUOLO;VERONA;0;1;28;16;22.4;0.6;PIF22082021092647;play;Corner
1;VERONA-SASSUOLO;VERONA;0;1;28;16;22.6;0.2;CRF22082021092726;free kick;Cross
1;VERONA-SASSUOLO;VERONA;0;1;28;19;24.7;2.1;TIF22082021092726;free kick;Heades Dot in the Box
1;VERONA-SASSUOLO;VERONA;0;1;29;44;25.3;0.6;PIF22082021092825;play;Lateral Free Kicks
1;VERONA-SASSUOLO;VERONA;0;1;29;44;25.5;0.2;PIF22082021092825;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;0;1;30;44;35.5;10;ATT22082021092947;play;Goal Opportunity
1;VERONA-SASSUOLO;VERONA;0;1;31;22;35.7;0.2;PLF22082021093004;play;Cross
1;VERONA-SASSUOLO;SASSUOLO;0;1;31;38;23.1;10;ATT22082021093133;play;Goal Opportunity
1;VERONA-SASSUOLO;SASSUOLO;1;1;31;38;23.1;0;RTF22082021093205;goal;Goal
1;VERONA-SASSUOLO;VERONA;0;1;33;26;35.9;0.2;CRF22082021093248;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;33;42;36.1;0.2;CRF22082021093310;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;33;48;36.3;0.2;CRF22082021093321;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;37;8;36.5;0.2;CRF22082021093636;play;Cross
1;VERONA-SASSUOLO;VERONA;0;1;38;42;37.1;0.6;PIF22082021093736;play;Lateral Free Kicks
1;VERONA-SASSUOLO;VERONA;0;1;38;42;37.3;0.2;PIF22082021093736;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;0;1;39;21;37.5;0.2;CRF22082021093823;free kick;Cross
1;VERONA-SASSUOLO;VERONA;0;1;39;32;38.1;0.6;PIF22082021093808;play;Corner
1;VERONA-SASSUOLO;VERONA;0;1;48;35;48.1;10;PIF22082021094149;free kick;Goal Opportunity
1;VERONA-SASSUOLO;VERONA;0;2;1;24;58.1;10;ATT22082021095049;play;Goal Opportunity
1;VERONA-SASSUOLO;VERONA;0;2;1;58;58.3;0.2;CRF22082021095132;free kick;Cross
1;VERONA-SASSUOLO;VERONA;0;2;2;2;58.9;0.6;PIF22082021095118;play;Corner
1;VERONA-SASSUOLO;VERONA;0;2;2;2;59.1;0.2;PIF22082021095118;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;0;2;2;3;59.3;0.2;CRF22082021095139;free kick;Cross
1;VERONA-SASSUOLO;VERONA;0;2;3;20;59.5;0.2;CRF22082021095318;play;Cross
1;VERONA-SASSUOLO;SASSUOLO;1;2;5;31;33.1;10;ATT22082021095536;play;Goal Opportunity
1;VERONA-SASSUOLO;SASSUOLO;2;2;5;31;33.1;0;RTF22082021095604;goal;Goal
1;VERONA-SASSUOLO;SASSUOLO;2;2;12;31;34.9;1.8;PIF22082021095904;play;Central Free Kicks
1;VERONA-SASSUOLO;SASSUOLO;2;2;12;32;35.6;0.7;TIF22082021095911;free kick;Shots Outside the Box
1;VERONA-SASSUOLO;SASSUOLO;2;2;13;4;36.2;0.6;PIF22082021095937;play;Corner
1;VERONA-SASSUOLO;SASSUOLO;2;2;13;8;36.9;0.7;TIF22082021095951;free kick;Shots Outside the Box
1;VERONA-SASSUOLO;VERONA;0;2;13;58;69.5;10;ATT22082021100117;play;Goal Opportunity
1;VERONA-SASSUOLO;SASSUOLO;2;2;17;8;37.6;0.7;TIF22082021100253;play;Shots Outside the Box
1;VERONA-SASSUOLO;SASSUOLO;2;2;18;29;38.9;1.3;TIF22082021100423;play;Shots Inside the Box
1;VERONA-SASSUOLO;SASSUOLO;2;2;21;9;39.6;0.7;TIF22082021100637;play;Shots Outside the Box
1;VERONA-SASSUOLO;SASSUOLO;2;2;23;13;40.9;1.3;TIF22082021100818;play;Shots Inside the Box
1;VERONA-SASSUOLO;VERONA;0;2;23;37;84.5;15;FAF1629621380993-10;play;Penalties
1;VERONA-SASSUOLO;VERONA;1;2;26;17;84.5;0;RTF22082021101134;goal;Goal
1;VERONA-SASSUOLO;SASSUOLO;2;2;31;56;42.2;1.3;TIF22082021101625;play;Shots Inside the Box
1;VERONA-SASSUOLO;SASSUOLO;3;2;31;56;42.2;0;RTF22082021101658;goal;Goal
1;VERONA-SASSUOLO;VERONA;1;2;39;14;84.7;0.2;PIF22082021102104;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;1;2;39;38;85.3;0.6;PIF22082021102122;play;Corner
1;VERONA-SASSUOLO;VERONA;1;2;39;38;85.5;0.2;PIF22082021102122;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;1;2;40;11;86.1;0.6;PIF22082021102204;play;Corner
1;VERONA-SASSUOLO;VERONA;1;2;40;11;86.3;0.2;PIF22082021102204;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;1;2;40;13;88.4;2.1;TIF22082021102207;free kick;Heades Dot in the Box
1;VERONA-SASSUOLO;VERONA;1;2;41;55;88.6;0.2;PIF22082021102322;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;SASSUOLO;3;2;43;18;42.4;0.2;CRF22082021102433;free kick;Cross
1;VERONA-SASSUOLO;SASSUOLO;3;2;43;19;43;0.6;PIF22082021102417;play;Corner
1;VERONA-SASSUOLO;SASSUOLO;3;2;43;19;43.2;0.2;PIF22082021102417;free kick;Free Kicks came into the box
1;VERONA-SASSUOLO;VERONA;1;2;44;28;92.6;4;ATT22082021102543;play;Promising Actions
1;VERONA-SASSUOLO;VERONA;2;2;44;28;92.6;0;RTF22082021102559;goal;Goal
1;VERONA-SASSUOLO;VERONA;2;2;46;16;92.8;0.2;CRF22082021102718;play;Cross
1;EMPOLI-LAZIO;LAZIO;0;1;0;14;0.2;0.2;CRF22082021090949;play;Cross
1;EMPOLI-LAZIO;LAZIO;0;1;0;52;0.4;0.2;CRF23082021160947;play;Cross
1;EMPOLI-LAZIO;EMPOLI;0;1;3;31;4;4;ATT22082021091429;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;1;3;31;4;0;RTF22082021091735;goal;Goal
1;EMPOLI-LAZIO;LAZIO;0;1;5;16;1;0.6;PIF22082021091938;play;Corner
1;EMPOLI-LAZIO;LAZIO;0;1;5;16;11;10;PIF22082021091938;free kick;Goal Opportunity
1;EMPOLI-LAZIO;LAZIO;1;1;5;16;11;0;RTF22082021092132;goal;Goal
1;EMPOLI-LAZIO;EMPOLI;1;1;6;46;4.2;0.2;PLF22082021092556;play;Cross
1;EMPOLI-LAZIO;LAZIO;1;1;10;36;11.2;0.2;CRF22082021093134;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;1;10;56;4.4;0.2;CRF22082021093157;play;Cross
1;EMPOLI-LAZIO;LAZIO;1;1;11;52;12.5;1.3;TIF22082021093427;play;Shots Inside the Box
1;EMPOLI-LAZIO;EMPOLI;1;1;12;41;14.4;10;ATT22082021093628;play;Goal Opportunity
1;EMPOLI-LAZIO;LAZIO;1;1;19;39;12.7;0.2;CRF22082021094251;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;1;21;41;15;0.6;PIF22082021094501;play;Corner
1;EMPOLI-LAZIO;EMPOLI;1;1;21;41;15.2;0.2;PIF22082021094501;free kick;Free Kicks came into the box
1;EMPOLI-LAZIO;EMPOLI;1;1;21;41;15.4;0.2;CRF22082021094530;free kick;Cross
1;EMPOLI-LAZIO;EMPOLI;1;1;21;43;16.7;1.3;TIF22082021094532;free kick;Shots Inside the Box
1;EMPOLI-LAZIO;EMPOLI;1;1;23;55;16.9;0.2;CRF22082021094831;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;1;23;58;17.6;0.7;TIF22082021094844;play;Shots Outside the Box
1;EMPOLI-LAZIO;EMPOLI;1;1;24;43;17.8;0.2;CRF22082021094935;play;Cross
1;EMPOLI-LAZIO;LAZIO;1;1;27;45;12.9;0.2;CRF22082021095355;free kick;Cross
1;EMPOLI-LAZIO;LAZIO;1;1;27;47;14.2;1.3;TIF22082021095414;free kick;Shots Inside the Box
1;EMPOLI-LAZIO;LAZIO;1;1;30;55;18.2;4;ATT22082021095907;play;Promising Actions
1;EMPOLI-LAZIO;LAZIO;2;1;30;55;18.2;0;RTF22082021095931;goal;Goal
1;EMPOLI-LAZIO;LAZIO;2;1;38;32;18.8;0.6;PIF22082021100744;play;Lateral Free Kicks
1;EMPOLI-LAZIO;LAZIO;2;1;38;32;19;0.2;PIF22082021100744;free kick;Free Kicks came into the box
1;EMPOLI-LAZIO;LAZIO;2;1;39;17;19.6;0.6;PIF22082021100836;play;Corner
1;EMPOLI-LAZIO;LAZIO;2;1;39;17;34.6;15;PIF22082021100836;free kick;Penalties
1;EMPOLI-LAZIO;LAZIO;2;1;39;17;34.8;0.2;PIF22082021100836;free kick;Free Kicks came into the box
1;EMPOLI-LAZIO;LAZIO;3;1;41;19;34.8;0;RTF22082021101207;goal;Goal
1;EMPOLI-LAZIO;LAZIO;3;1;43;24;35;0.2;CRF23082021161048;free kick;Cross
1;EMPOLI-LAZIO;LAZIO;3;1;43;25;35.6;0.6;PIF22082021101336;play;Corner
1;EMPOLI-LAZIO;LAZIO;3;2;2;14;39.6;4;ATT22082021102725;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;2;4;2;18;0.2;CRF23082021160829;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;4;30;18.6;0.6;PIF22082021102950;play;Corner
1;EMPOLI-LAZIO;EMPOLI;1;2;4;30;22.6;4;PIF22082021102950;free kick;Promising Situations
1;EMPOLI-LAZIO;EMPOLI;1;2;4;51;22.8;0.2;PLF22082021103038;free kick;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;4;59;23.4;0.6;PIF22082021103028;play;Corner
1;EMPOLI-LAZIO;EMPOLI;1;2;5;15;24.7;1.3;TIF22082021103306;play;Shots Inside the Box
1;EMPOLI-LAZIO;LAZIO;3;2;6;9;39.8;0.2;CRF22082021103431;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;9;41;28.7;4;ATT22082021103712;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;2;11;30;28.9;0.2;CRF22082021104355;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;13;7;32.9;4;ATT22082021104601;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;2;15;30;33.6;0.7;TIF22082021104955;play;Shots Outside the Box
1;EMPOLI-LAZIO;EMPOLI;1;2;15;59;34.2;0.6;PIF22082021105038;play;Corner
1;EMPOLI-LAZIO;EMPOLI;1;2;15;59;34.4;0.2;PIF22082021105038;free kick;Free Kicks came into the box
1;EMPOLI-LAZIO;LAZIO;3;2;17;46;43.8;4;ATT22082021105437;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;2;22;13;34.6;0.2;CRF22082021105934;play;Cross
1;EMPOLI-LAZIO;LAZIO;3;2;28;53;47.8;4;ATT22082021110409;play;Promising Actions
1;EMPOLI-LAZIO;EMPOLI;1;2;38;19;34.8;0.2;PLF22082021111400;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;38;20;36.1;1.3;TIF22082021111418;play;Shots Inside the Box
1;EMPOLI-LAZIO;EMPOLI;1;2;44;40;36.3;0.2;PLF22082021111842;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;45;19;36.5;0.2;PLF22082021111916;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;45;37;36.7;0.2;CRF22082021111950;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;47;18;36.9;0.2;CRF22082021112118;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;47;25;37.1;0.2;CRF22082021112133;play;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;47;39;37.8;0.7;TIF22082021112431;free kick;Shots Outside the Box
1;EMPOLI-LAZIO;EMPOLI;1;2;48;3;38;0.2;PLF22082021112523;free kick;Cross
1;EMPOLI-LAZIO;EMPOLI;1;2;48;3;38.6;0.6;PIF22082021112402;play;Corner
1;EMPOLI-LAZIO;EMPOLI;1;2;48;4;39.9;1.3;TIF22082021112556;free kick;Shots Inside the Box
1;TORINO-ATALANTA;ATALANTA;0;1;3;22;0.2;0.2;CRF21082021205141;free kick;Cross
1;TORINO-ATALANTA;ATALANTA;0;1;5;13;0.9;0.7;TIF21082021205419;play;Shots Outside the Box
1;TORINO-ATALANTA;ATALANTA;1;1;5;13;0.9;0;RTF21082021205439;goal;Goal
1;TORINO-ATALANTA;TORINO;0;1;8;13;4;4;ATT21082021205820;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;1;9;2;4.2;0.2;CRF21082021205858;free kick;Cross
1;TORINO-ATALANTA;TORINO;0;1;9;15;4.8;0.6;PIF21082021210005;play;Corner
1;TORINO-ATALANTA;TORINO;0;1;9;39;5;0.2;PIF21082021210023;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;0;1;11;3;5.2;0.2;PIF21082021210119;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;0;1;12;19;9.2;4;ATT21082021210430;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;1;14;44;9.8;0.6;PIF21082021210544;play;Lateral Free Kicks
1;TORINO-ATALANTA;TORINO;0;1;14;44;10;0.2;PIF21082021210544;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;ATALANTA;1;1;21;50;4.9;4;ATT21082021211253;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;1;25;50;10.2;0.2;PIF21082021211537;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;ATALANTA;1;1;30;29;6.2;1.3;TIF21082021211923;play;Shots Inside the Box
1;TORINO-ATALANTA;TORINO;0;1;32;43;10.9;0.7;TIF21082021212143;play;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;0;1;33;19;14.9;4;ATT21082021212320;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;1;34;3;15.1;0.2;CRF21082021212349;play;Cross
1;TORINO-ATALANTA;TORINO;0;1;39;55;15.3;0.2;CRF21082021212840;free kick;Cross
1;TORINO-ATALANTA;TORINO;0;1;39;57;17.4;2.1;TIF21082021212841;free kick;Heades Dot in the Box
1;TORINO-ATALANTA;TORINO;0;1;40;8;18;0.6;PIF21082021212955;play;Corner
1;TORINO-ATALANTA;TORINO;0;1;41;44;18.2;0.2;CRF21082021213139;play;Cross
1;TORINO-ATALANTA;TORINO;0;1;42;31;22.2;4;ATT21082021213323;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;1;43;10;22.4;0.2;PIF21082021213348;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;0;1;43;33;23.1;0.7;TIF21082021213402;play;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;0;2;3;7;24.9;1.8;PIF21082021215408;play;Central Free Kicks
1;TORINO-ATALANTA;TORINO;0;2;3;9;25.6;0.7;TIF21082021215416;free kick;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;0;2;4;16;29.6;4;ATT21082021215702;play;Promising Actions
1;TORINO-ATALANTA;TORINO;0;2;9;35;30.2;0.6;PIF21082021220151;play;Corner
1;TORINO-ATALANTA;TORINO;0;2;9;38;30.4;0.2;CRF21082021220110;free kick;Cross
1;TORINO-ATALANTA;TORINO;0;2;9;39;31.7;1.3;TIF21082021220111;free kick;Shots Inside the Box
1;TORINO-ATALANTA;TORINO;0;2;9;57;31.9;0.2;CRF21082021220231;free kick;Cross
1;TORINO-ATALANTA;TORINO;0;2;10;2;32.5;0.6;PIF21082021220234;play;Corner
1;TORINO-ATALANTA;TORINO;0;2;10;21;32.7;0.2;PLF21082021220345;play;Cross
1;TORINO-ATALANTA;TORINO;0;2;10;22;33.4;0.7;TIF21082021220354;play;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;0;2;16;3;33.6;0.2;CRF21082021220730;play;Cross
1;TORINO-ATALANTA;TORINO;0;2;16;9;34.3;0.7;TIF21082021220639;play;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;0;2;19;5;34.5;0.2;PIF21082021221006;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;0;2;23;14;35.1;0.6;PIF21082021221458;play;Corner
1;TORINO-ATALANTA;TORINO;0;2;23;14;39.1;4;PIF21082021221458;free kick;Promising Situations
1;TORINO-ATALANTA;ATALANTA;1;2;24;33;6.9;0.7;TIF21082021221752;play;Shots Outside the Box
1;TORINO-ATALANTA;ATALANTA;1;2;25;13;7.5;0.6;PIF21082021221841;play;Corner
1;TORINO-ATALANTA;ATALANTA;1;2;25;13;7.7;0.2;PIF21082021221841;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;ATALANTA;1;2;29;2;7.9;0.2;PIF21082021222021;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;0;2;33;6;39.8;0.7;TIF21082021222432;play;Shots Outside the Box
1;TORINO-ATALANTA;TORINO;1;2;33;6;39.8;0;RTF21082021222448;goal;Goal
1;TORINO-ATALANTA;ATALANTA;1;2;35;31;8.1;0.2;PLF21082021222636;free kick;Cross
1;TORINO-ATALANTA;TORINO;1;2;36;44;40;0.2;PIF21082021222853;free kick;Free Kicks came into the box
1;TORINO-ATALANTA;TORINO;1;2;41;4;40.2;0.2;CRF21082021223236;play;Cross
1;TORINO-ATALANTA;TORINO;1;2;42;17;40.9;0.7;TIF21082021223344;play;Shots Outside the Box
1;TORINO-ATALANTA;ATALANTA;1;2;47;12;12.1;4;ATT21082021223925;play;Promising Actions
1;TORINO-ATALANTA;ATALANTA;2;2;47;12;12.1;0;RTF21082021223945;goal;Goal
1;TORINO-ATALANTA;TORINO;1;2;49;18;41.1;0.2;CRF21082021224105;play;Cross
1;BOLOGNA-SALERNITANA;SALERNITANA;0;1;2;51;0.7;0.7;TIF23082021092858;play;Shots Outside the Box
1;BOLOGNA-SALERNITANA;SALERNITANA;0;1;3;26;0.9;0.2;CRF23082021093042;play;Cross
1;BOLOGNA-SALERNITANA;BOLOGNA;0;1;10;44;10;10;ATT23082021093736;play;Goal Opportunity
1;BOLOGNA-SALERNITANA;BOLOGNA;0;1;15;28;10.2;0.2;CRF23082021094117;play;Cross
1;BOLOGNA-SALERNITANA;BOLOGNA;0;1;17;4;10.8;0.6;PIF23082021094228;play;Corner
1;BOLOGNA-SALERNITANA;BOLOGNA;0;1;17;4;11;0.2;PIF23082021094228;free kick;Free Kicks came into the box
1;BOLOGNA-SALERNITANA;BOLOGNA;0;1;17;8;12.3;1.3;TIF23082021094234;free kick;Shots Inside the Box
1;BOLOGNA-SALERNITANA;SALERNITANA;0;1;19;29;2.7;1.8;PIF23082021094355;play;Central Free Kicks
